Livre,Pages,Harry_cicatrice,Hermione_mais,Harry_dialogue,Hermione_dialogue,Ron_dialogue,Rogue_dark,Dumbledore_intervention,Actes_illegaux,Harry_cicatrice_par100pages,Hermione_mais_par100pages,Harry_dialogue_par100pages,Hermione_dialogue_par100pages,Ron_dialogue_par100pages,Rogue_dark_par100pages,Dumbledore_intervention_par100pages,Actes_illegaux_par100pages
Livres_HarryPotter\Harry1.pdf,208,5,9,0,0,1,0,2,159,2.403846153846154,4.326923076923077,0.0,0.0,0.4807692307692308,0.0,0.9615384615384616,76.4423076923077
Livres_HarryPotter\Harry2.pdf,177,2,13,0,0,0,0,0,137,1.1299435028248588,7.344632768361582,0.0,0.0,0.0,0.0,0.0,77.40112994350282
Livres_HarryPotter\Harry3.pdf,288,2,24,2,0,1,0,0,159,0.6944444444444444,8.333333333333332,0.6944444444444444,0.0,0.3472222222222222,0.0,0.0,55.208333333333336
Livres_HarryPotter\Harry4.pdf,386,7,25,0,0,0,0,6,496,1.8134715025906734,6.476683937823833,0.0,0.0,0.0,0.0,1.5544041450777202,128.49740932642487
Livres_HarryPotter\Harry5.pdf,694,11,49,0,2,1,0,2,534,1.585014409221902,7.060518731988473,0.0,0.2881844380403458,0.1440922190201729,0.0,0.2881844380403458,76.94524495677233
Livres_HarryPotter\Harry6.pdf,415,2,34,0,0,0,0,3,415,0.48192771084337355,8.19277108433735,0.0,0.0,0.0,0.0,0.7228915662650602,100.0
Livres_HarryPotter\Harry7.pdf,541,21,53,0,2,0,0,3,734,3.8817005545286505,9.796672828096119,0.0,0.36968576709796674,0.0,0.0,0.5545286506469501,135.6746765249538
